# x	y	u	v	mask
  2.2690	  2.5280	 -0.0465	 -3.1262	  0.0000
  2.5176	  2.5280	 -0.1000	 -3.0421	  0.0000
  2.7663	  2.5280	 -0.1960	 -2.6287	  0.0000
  3.0149	  2.5280	 -0.0747	 -2.5185	  0.0000
  3.2636	  2.5280	 -0.0995	 -2.4913	  0.0000
  3.5122	  2.5280	 -0.2808	 -2.8117	  0.0000
  3.7609	  2.5280	 -0.3963	 -2.9310	  0.0000
  4.0095	  2.5280	 -0.3806	 -2.7996	  0.0000
  4.2582	  2.5280	 -0.5689	 -2.9151	  0.0000
  4.5068	  2.5280	 -0.4932	 -2.9886	  0.0000
  4.7555	  2.5280	 -0.1434	 -2.6966	  0.0000
  5.0041	  2.5280	 -0.1730	 -2.8006	  0.0000
  0.2797	  2.2793	 -0.3651	 -2.6521	  0.0000
  0.5284	  2.2793	 -0.0634	 -2.7231	  1.0000
  0.7770	  2.2793	  0.0305	 -3.0621	  0.0000
  1.0257	  2.2793	 -0.0832	 -2.9441	  0.0000
  1.2743	  2.2793	  0.0471	 -2.8246	  1.0000
  1.5230	  2.2793	 -0.0055	 -3.0305	  0.0000
  1.7717	  2.2793	 -0.4266	 -3.1644	  0.0000
  2.0203	  2.2793	 -0.1258	 -3.1479	  0.0000
  2.2690	  2.2793	 -0.0169	 -3.1393	  0.0000
  2.5176	  2.2793	  0.0670	 -3.0110	  0.0000
  2.7663	  2.2793	  0.1831	 -2.6307	  0.0000
  3.0149	  2.2793	 -0.0019	 -2.4868	  0.0000
  3.2636	  2.2793	 -0.3823	 -2.4660	  0.0000
  3.5122	  2.2793	 -0.3650	 -2.5098	  0.0000
  3.7609	  2.2793	 -0.1569	 -2.7726	  0.0000
  4.0095	  2.2793	 -0.3256	 -2.7771	  0.0000
  4.2582	  2.2793	 -0.4131	 -2.9255	  0.0000
  4.5068	  2.2793	 -0.0225	 -2.6969	  0.0000
  4.7555	  2.2793	 -0.0826	 -2.5576	  0.0000
  5.0041	  2.2793	 -0.1445	 -2.6663	  0.0000
  0.2797	  2.0307	 -0.5953	 -2.4930	  0.0000
  0.5284	  2.0307	 -0.1047	 -2.6971	  1.0000
  0.7770	  2.0307	  0.0956	 -2.7201	  0.0000
  1.0257	  2.0307	  0.1078	 -2.7048	  0.0000
  1.2743	  2.0307	 -0.0086	 -2.7472	  0.0000
  1.5230	  2.0307	 -0.2033	 -2.9289	  0.0000
  1.7717	  2.0307	 -0.0675	 -3.1788	  0.0000
  2.0203	  2.0307	  0.0675	 -2.7195	  0.0000
  2.2690	  2.0307	 -0.1135	 -2.9339	  0.0000
  2.5176	  2.0307	  0.1329	 -2.9998	  0.0000
  2.7663	  2.0307	  0.1921	 -2.5717	  0.0000
  3.0149	  2.0307	 -0.1197	 -2.4625	  0.0000
  3.2636	  2.0307	 -0.4154	 -2.5143	  0.0000
  3.5122	  2.0307	 -0.4806	 -2.4584	  0.0000
  3.7609	  2.0307	 -0.4267	 -2.4879	  0.0000
  4.0095	  2.0307	 -0.3141	 -2.5334	  0.0000
  4.2582	  2.0307	 -0.3425	 -2.5641	  0.0000
  4.5068	  2.0307	  0.0085	 -2.6401	  0.0000
  4.7555	  2.0307	  0.0113	 -2.5691	  0.0000
  5.0041	  2.0307	  0.0606	 -2.5436	  0.0000
  0.2797	  1.7820	 -0.5550	 -2.4490	  0.0000
  0.5284	  1.7820	 -0.1171	 -2.6594	  1.0000
  0.7770	  1.7820	 -0.0974	 -2.6629	  0.0000
  1.0257	  1.7820	  0.0961	 -2.7128	  0.0000
  1.2743	  1.7820	 -0.2119	 -2.8665	  0.0000
  1.5230	  1.7820	 -0.0776	 -2.8562	  1.0000
  1.7717	  1.7820	  0.0396	 -3.0526	  0.0000
  2.0203	  1.7820	 -0.0065	 -2.6960	  0.0000
  2.2690	  1.7820	  0.1490	 -2.9026	  0.0000
  2.5176	  1.7820	 -0.0246	 -2.9321	  0.0000
  2.7663	  1.7820	 -0.0434	 -2.6712	  1.0000
  3.0149	  1.7820	 -0.4307	 -2.6086	  0.0000
  3.2636	  1.7820	 -0.4492	 -2.4816	  0.0000
  3.5122	  1.7820	 -0.4501	 -2.3974	  0.0000
  3.7609	  1.7820	 -0.3814	 -2.3839	  0.0000
  4.0095	  1.7820	 -0.2582	 -2.5958	  1.0000
  4.2582	  1.7820	 -0.1889	 -2.5093	  0.0000
  4.5068	  1.7820	 -0.0708	 -2.6078	  0.0000
  4.7555	  1.7820	 -0.0144	 -2.5876	  0.0000
  5.0041	  1.7820	 -0.0338	 -2.5229	  0.0000
  0.2797	  1.5334	  0.1687	 -2.3812	  0.0000
  0.5284	  1.5334	 -0.0497	 -2.5845	  0.0000
  0.7770	  1.5334	 -0.4130	 -2.6759	  0.0000
  1.0257	  1.5334	 -0.3645	 -2.6189	  0.0000
  1.2743	  1.5334	 -0.2940	 -3.0988	  0.0000
  1.5230	  1.5334	 -0.2327	 -3.0884	  0.0000
  1.7717	  1.5334	 -0.1665	 -2.8553	  0.0000
  2.0203	  1.5334	 -0.1560	 -2.6961	  0.0000
  2.2690	  1.5334	  0.0346	 -2.6553	  0.0000
  2.5176	  1.5334	 -0.0955	 -2.9196	  0.0000
  2.7663	  1.5334	 -0.0884	 -2.7647	  0.0000
  3.0149	  1.5334	  0.0067	 -2.3580	  0.0000
  3.2636	  1.5334	 -0.0556	 -2.4772	  0.0000
  3.5122	  1.5334	 -0.3059	 -2.6266	  0.0000
  3.7609	  1.5334	 -0.3925	 -2.6034	  0.0000
  4.0095	  1.5334	 -0.4219	 -2.6097	  0.0000
  4.2582	  1.5334	 -0.3616	 -2.5759	  0.0000
  4.5068	  1.5334	 -0.0803	 -2.4537	  0.0000
  4.7555	  1.5334	 -0.0328	 -2.5793	  0.0000
  5.0041	  1.5334	 -0.0826	 -2.5709	  0.0000
  0.2797	  1.2847	  0.4813	 -2.3598	  0.0000
  0.5284	  1.2847	 -0.0009	 -2.6315	  0.0000
  0.7770	  1.2847	 -0.1431	 -2.7933	  0.0000
  1.0257	  1.2847	 -0.3691	 -2.6617	  0.0000
  1.2743	  1.2847	 -0.0730	 -2.6879	  0.0000
  1.5230	  1.2847	  0.0657	 -2.6981	  1.0000
  1.7717	  1.2847	  0.2831	 -2.5546	  0.0000
  2.0203	  1.2847	  0.2257	 -2.8704	  0.0000
  2.2690	  1.2847	  0.0680	 -2.5912	  0.0000
  2.5176	  1.2847	  0.1198	 -2.8147	  0.0000
  2.7663	  1.2847	 -0.0171	 -2.7363	  0.0000
  3.0149	  1.2847	  0.2119	 -2.1844	  0.0000
  3.2636	  1.2847	  0.0040	 -2.4668	  0.0000
  3.5122	  1.2847	 -0.0156	 -2.6260	  0.0000
  3.7609	  1.2847	 -0.1280	 -2.6477	  0.0000
  4.0095	  1.2847	 -0.2091	 -2.6270	  0.0000
  4.2582	  1.2847	 -0.2188	 -2.5870	  0.0000
  4.5068	  1.2847	 -0.1337	 -2.6779	  0.0000
  4.7555	  1.2847	 -0.0397	 -2.7108	  0.0000
  5.0041	  1.2847	  0.0172	 -2.4180	  0.0000
  0.2797	  1.0361	  0.5690	 -2.7169	  0.0000
  0.5284	  1.0361	  0.3481	 -2.8222	  0.0000
  0.7770	  1.0361	  0.3932	 -2.7466	  0.0000
  1.0257	  1.0361	  0.3750	 -2.5614	  0.0000
  1.2743	  1.0361	  0.4143	 -2.4705	  0.0000
  1.5230	  1.0361	  0.6011	 -2.4993	  0.0000
  1.7717	  1.0361	  0.3073	 -2.6105	  0.0000
  2.0203	  1.0361	  0.0848	 -2.6464	  0.0000
  2.2690	  1.0361	  0.0253	 -2.6397	  0.0000
  2.5176	  1.0361	 -0.1570	 -2.6760	  0.0000
  2.7663	  1.0361	 -0.4584	 -2.4966	  0.0000
  3.0149	  1.0361	 -0.2457	 -2.2241	  0.0000
  3.2636	  1.0361	 -0.3901	 -2.3742	  0.0000
  3.5122	  1.0361	 -0.2047	 -2.7409	  0.0000
  3.7609	  1.0361	 -0.4335	 -2.6454	  0.0000
  4.0095	  1.0361	 -0.2063	 -2.5860	  0.0000
  4.2582	  1.0361	 -0.0924	 -2.6396	  0.0000
  4.5068	  1.0361	 -0.0073	 -2.6149	  0.0000
  4.7555	  1.0361	 -0.0080	 -2.5446	  0.0000
  5.0041	  1.0361	 -0.0585	 -2.5736	  0.0000
  0.2797	  0.7874	  0.3694	 -2.6861	  1.0000
  0.5284	  0.7874	  0.3362	 -2.8346	  0.0000
  0.7770	  0.7874	  0.3900	 -2.7397	  0.0000
  1.0257	  0.7874	  0.3610	 -2.4744	  0.0000
  1.2743	  0.7874	  0.0953	 -2.4638	  0.0000
  1.5230	  0.7874	  0.3333	 -2.4935	  0.0000
  1.7717	  0.7874	  0.2392	 -2.5537	  0.0000
  2.0203	  0.7874	  0.0795	 -2.6627	  0.0000
  2.2690	  0.7874	 -0.0786	 -2.4809	  0.0000
  2.5176	  0.7874	 -0.2346	 -2.5936	  0.0000
  2.7663	  0.7874	 -0.3337	 -2.5428	  0.0000
  3.0149	  0.7874	 -0.2141	 -2.4501	  0.0000
  3.2636	  0.7874	 -0.1669	 -2.5416	  0.0000
  3.5122	  0.7874	 -0.1551	 -2.6150	  0.0000
  3.7609	  0.7874	 -0.1439	 -2.5458	  0.0000
  4.0095	  0.7874	 -0.1345	 -2.5018	  0.0000
  4.2582	  0.7874	 -0.1089	 -2.5481	  0.0000
  4.5068	  0.7874	 -0.0778	 -2.5404	  0.0000
  4.7555	  0.7874	 -0.1223	 -2.4874	  0.0000
  5.0041	  0.7874	 -0.0031	 -2.5020	  0.0000
  0.2797	  0.5387	  0.9329	 -2.6599	  0.0000
  0.5284	  0.5387	  0.1867	 -3.0038	  0.0000
  0.7770	  0.5387	  0.5478	 -2.4212	  0.0000
  1.0257	  0.5387	  0.4897	 -2.5478	  0.0000
  1.2743	  0.5387	 -0.0017	 -2.5896	  0.0000
  1.5230	  0.5387	 -0.1021	 -2.5415	  0.0000
  1.7717	  0.5387	 -0.0210	 -2.3586	  0.0000
  2.0203	  0.5387	  0.0810	 -2.4463	  0.0000
  2.2690	  0.5387	  0.0154	 -2.5046	  1.0000
  2.5176	  0.5387	  0.0262	 -2.5192	  0.0000
  2.7663	  0.5387	  0.1335	 -2.4999	  0.0000
  3.0149	  0.5387	  0.0501	 -2.6006	  0.0000
  3.2636	  0.5387	 -0.2225	 -2.4298	  0.0000
  3.5122	  0.5387	 -0.1841	 -2.5113	  0.0000
  3.7609	  0.5387	 -0.2868	 -2.7571	  0.0000
  4.0095	  0.5387	 -0.2312	 -2.6055	  0.0000
  4.2582	  0.5387	 -0.1837	 -2.5352	  0.0000
  4.5068	  0.5387	 -0.1694	 -2.4496	  0.0000
  4.7555	  0.5387	  0.1673	 -2.4152	  0.0000
  5.0041	  0.5387	  0.3317	 -2.5851	  0.0000
  0.2797	  0.2901	  0.6843	 -2.7979	  0.0000
  0.5284	  0.2901	  0.2838	 -2.7273	  0.0000
  0.7770	  0.2901	  0.1619	 -2.3514	  0.0000
  1.0257	  0.2901	  0.4370	 -2.7591	  0.0000
  1.2743	  0.2901	  0.0736	 -2.6233	  0.0000
  1.5230	  0.2901	 -0.0539	 -2.6461	  0.0000
  1.7717	  0.2901	 -0.0592	 -2.3831	  0.0000
  2.0203	  0.2901	  0.3328	 -2.1790	  0.0000
  2.2690	  0.2901	  0.3230	 -2.4704	  0.0000
  2.5176	  0.2901	  0.0337	 -2.3910	  0.0000
  2.7663	  0.2901	 -0.0314	 -2.4365	  0.0000
  3.0149	  0.2901	 -0.1745	 -2.5207	  0.0000
  3.2636	  0.2901	 -0.2938	 -2.4847	  0.0000
  3.5122	  0.2901	 -0.1540	 -2.5702	  0.0000
  3.7609	  0.2901	 -0.2467	 -2.6125	  0.0000
  4.0095	  0.2901	 -0.1249	 -2.7476	  0.0000
  4.2582	  0.2901	 -0.1548	 -2.7035	  0.0000
  4.5068	  0.2901	 -0.0666	 -2.6374	  0.0000
  4.7555	  0.2901	  0.0707	 -2.6314	  0.0000
  5.0041	  0.2901	  0.3005	 -2.7527	  0.0000
